TEMPS	VO2	VCO2	FR	VT
299	1774.093387	939.1989264	23.97123452	1.19234509
302	1781.983439	952.6046188	23.02379125	1.228044045
304	1863.917073	986.6524874	24.40016267	1.19234509
306	1889.544309	976.3438425	25.71795971	1.103607688
308	1906.482427	974.2966663	26.7618198	1.068928704
311	2016.205048	1007.538491	27.53556677	1.063828853
313	2023.57593	1003.154689	26.24671916	1.145426464
315	2090.75588	1040.992952	25.95155709	1.204584732
318	2118.218551	1091.485556	24.26202992	1.323921238
320	2193.404722	1158.10396	24.86531289	1.346360581
322	2099.839629	1122.68084	26.16659398	1.267822881
325	1994.864466	1062.387007	27.23558783	1.18622527
327	1938.439804	1031.735725	26.24671916	1.197444941
329	1971.640267	1043.708539	26.67852379	1.179085479
331	1803.196461	954.9889136	27.82931354	1.086268196
334	1745.532192	949.197385	27.86809104	1.068928704
336	1637.135845	909.730706	25.40220152	1.1168673
338	1891.075473	1050.606116	24.69135802	1.243343597
341	2010.2806	1089.096699	25.61912895	1.237223776
343	2059.512743	1100.488781	27.52293578	1.182145389
345	1875.561548	1006.713305	27.07581227	1.11890724
347	1873.62087	1022.854812	26.67852379	1.149506345
350	1937.612031	1063.327884	25.65198803	1.217844344
352	1961.074764	1055.343514	27.03920685	1.173985628
354	1843.653716	1003.820033	26.86968204	1.150526315
356	1813.035478	996.9890012	27.40977615	1.121967151
359	1803.886145	1019.182394	25.14668902	1.209684583
361	1681.445933	958.3986461	24.10606669	1.167865807
364	1715.297481	968.7832829	23.65930599	1.181125419
366	1793.534161	1007.792457	23.5941801	1.216824374
369	1857.61518	1023.850403	25.40220152	1.154606195
371	1850.480853	1035.293067	25.71795971	1.19132512
373	1713.701808	985.6233227	26.36203866	1.140326613
375	1834.870661	1077.915721	26.17801047	1.246403508
378	1736.339434	1027.864438	26.66666667	1.163785927
380	1861.597631	1063.897588	27.27272727	1.166845837
382	1763.60911	984.0105513	27.11251695	1.106667599
385	1856.67992	1040.86155	25.32714225	1.227024075
387	1765.184036	1010.732318	24.80363787	1.214784433
389	1774.163672	1031.807818	25.35925613	1.19336506
391	1751.879613	1008.385484	26.59574468	1.120947181
394	1795.74055	1014.467218	27.4473925	1.086268196
396	1782.790057	1015.103945	26.51347768	1.136246733
398	1731.586402	987.5936409	25.94033722	1.146446434
401	1690.540261	966.0538775	25.11511093	1.166845837
403	1720.117578	978.4688881	25.42372881	1.156646136
406	1743.286483	978.8785168	25.25252525	1.145426464
408	1885.816185	1054.619154	25.40220152	1.19234509
410	1889.344434	1051.081903	24.83443709	1.206624672
413	1985.195999	1116.196041	25.01042101	1.267822881
415	1927.284532	1093.68246	25.14668902	1.279042552
417	1890.447011	1061.868017	26.29272568	1.220904254
420	1760.573289	1012.942157	26.01908066	1.200504851
422	1723.952836	1005.870754	26.13240418	1.167865807
424	1743.857648	1041.093584	25.39145154	1.215804404
426	1851.122361	1086.139485	26.67852379	1.18724524
429	1812.409737	1052.394903	26.83363148	1.144406494
431	1877.622933	1088.882555	26.32733655	1.202544792
434	1786.125932	1037.370179	24.73206925	1.233143896
437	1674.82321	984.6164509	20.79002079	1.386139416
440	1750.324901	1025.555721	21.32954141	1.375939715
442	1840.335213	1051.253163	21.92982456	1.362680103
444	2088.961787	1182.729041	25.57544757	1.303521835
447	1994.064823	1142.333173	25.68493151	1.297402014
448	2090.487657	1215.458691	27.90697674	1.299441955
450	1893.904087	1102.417753	31.31524008	1.128086972
453	1768.164567	1053.964116	29.09796314	1.136246733
455	1443.408679	877.686063	25.79535684	1.066888763
458	1646.720492	1003.656016	23.44665885	1.231103956
460	1662.307751	994.87626	24.76269088	1.156646136
462	1812.513274	1089.570739	25.71795971	1.206624672
465	1774.29483	1049.067815	26.31578947	1.164805897
467	1756.430562	1053.528528	25.98527501	1.204584732
469	1771.365881	1054.090911	26.36203866	1.194385031
471	1696.71165	1010.823958	26.47837599	1.157666106
473	1773.346496	1028.500265	27.77777778	1.108707539
476	1863.102788	1065.43307	27.48511223	1.147466404
478	1897.094578	1091.780286	26.83363148	1.18826521
480	1780.777401	1025.153211	26.20087336	1.166845837
483	1648.877861	965.7235228	25.95155709	1.136246733
485	1614.612385	956.7477066	26.4084507	1.110747479
488	1618.130906	982.8370625	24.73206925	1.184185329
490	1802.473802	1077.399618	25.25252525	1.226004105
492	1824.276695	1091.889067	25.08361204	1.245383537
494	1855.9795	1120.992598	26.01908066	1.249463418
497	1646.569637	1006.457947	26.09830361	1.163785927
499	1665.754094	1006.230395	25.75107296	1.198464911
502	1631.90527	970.9812708	25.54278416	1.156646136
504	1672.816219	1015.33452	24.76269088	1.212744493
506	1773.631674	1069.638382	25.35925613	1.204584732
508	1850.466679	1084.734489	26.24671916	1.182145389
511	1896.768482	1103.387135	25.79535684	1.241303657
514	1764.02373	1042.766235	24.46982055	1.263743
516	1734.940995	1048.377413	22.90950745	1.351460432
